#
#  sone211586cyc 22.0 Reactions link table generated on Tue Aug 21, 2018
#
DIHYDROFOLATEREDUCT-RXN	EC-1.5.1.3
RXN-14776	EC-1.3.1.34
R223-RXN	EC-6.2.1.3
RXN-10715	EC-1.2.1.3
RXN-14117	EC-2.7.1.40
AMINOCYL-TRNA-HYDROLASE-RXN	EC-3.1.1.29
UDP-NACMURALGLDAPLIG-RXN	EC-6.3.2.13
TRANS-RXN0-470	
TETHYDPICSUCC-RXN	EC-2.3.1.117
RXN-9557	EC-4.2.1.59
RXN-15511	
GLYCOGEN-BRANCH-RXN	EC-2.4.1.18
SHIKIMATE-KINASE-RXN	EC-2.7.1.71
RXN-12490	EC-1.1.1.35
RXN-18430	
RXN0-5393	EC-4.2.1.17
3-OXOACYL-ACP-SYNTH-RXN	EC-2.3.1.179	EC-2.3.1.41	EC-2.3.1.85	EC-2.3.1.86
RXN-13443	EC-1.1.1.330
1.8.4.8-RXN	EC-1.8.4.8
3-HYDROXY-KYNURENINASE-RXN	EC-3.7.1.3
NADH-DEHYDROG-A-RXN	EC-1.6.5.3
RXN0-6435	EC-6.1.2
RXN-9884	EC-1.13.11
IGPSYN-RXN	EC-4.1.1.48
RXN0-4341	EC-2.7.1.167
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	EC-3.1.2.12
PGPPHOSPHA-RXN	EC-3.1.3.27
ADENPRIBOSYLTRAN-RXN	EC-2.4.2.7
RXN-7101	
RXN-9886	EC-5.5.1.7
RXN1A0-6303	EC-1.3.1
METHIONINE--TRNA-LIGASE-RXN	EC-6.1.1.10
RXN-14189	EC-1.11.1.6
RXN0-5248	
4.2.99.18-RXN	EC-4.2.99.18
2.4.1.129-RXN	EC-2.4.1.129
METHYLVALERATE-RXN	EC-1.2.4.4
RXN-14223	EC-2.7.1.15
RXN0-6359	EC-2.8.1.1
RXN-17092	
RXN-14224	EC-1.2.1.3
RNTRACTIV-RXN	EC-1.97.1
RXN-9661	EC-1.3.1.9
ASNSYNB-RXN	EC-6.3.5.4
RXN-13313	EC-3.1.3.27
BIOTINLIG-RXN	EC-6.3.4.15
HEXOKINASE-RXN	EC-2.7.1.1
RXN-10915	EC-1.1.1.1
RXN-11839	EC-5.4.99.25
TRANS-RXN-155B	EC-2.7.1.196
RXN-16225	EC-3.1.1
RXN-14273	EC-4.2.1.17
TRANS-RXN1GMP-60	
RXN-11348	EC-2.4.1.129
FORMATETHFLIG-RXN	EC-6.3.4.3
RXN-17878	EC-3.4.11.18
RXN-8772	EC-1.1.1.21
RXN66-336	EC-2.3.2.2
RXN-12565	EC-2.3.1.16
FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17
DTDPKIN-RXN	EC-2.7.4.6
SUPEROX-DISMUT-RXN	EC-1.15.1.1
RXN-10658	EC-2.3.1.179	EC-2.3.1.41
RXN-8773	EC-1.1.1.21
RXN-8748	EC-3.1.3.1
RXN-15175	EC-2.7.1.206
RXN-10953	EC-3.1.3.25
RXN0-2601	EC-4.2.99.18
RXN-11047	EC-2.5.1.74
RXN-18357	EC-1.5.1.3
DIENOYLCOAREDUCT-RXN	EC-1.3.1.34
THYKI-RXN	EC-2.7.1.145	EC-2.7.1.21
RXN-17848	EC-2.3.2.6
RXN-15512	
LIPIDXSYNTHESIS-RXN	EC-3.6.1.54
RXN-14126	EC-3.1.3.6
RXN-11382	EC-1.1.1.372
RXN-12302	EC-3.2.1.41
RXN0-949	EC-2.8.1.8
RXN-15164	EC-2.7.1.191
HOMOCYSMETB12-RXN	EC-2.1.1.13
ASNSYNA-RXN	EC-6.3.1.1
RXN-7694	EC-1.1.1.1
RXN-18431	
RXN-9885	EC-1.3.1.32
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	EC-2.6.1.51
