#
#  sone211586cyc 22.0 Pathways link table generated on Tue Aug 21, 2018
#
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	Embden-Meyerhof pathway	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis (plastidic)
PWY-6759	hydrogen production III	
PPGPPMET-PWY	ppGpp biosynthesis	guanosine 3'-diphosphate 5'-diphosphate biosynthesis
PWY-6579	superpathway of guanine and guanosine salvage	
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	protocatechuate branch of the 3-oxoadipate pathway	protocatechuate branch of the 3-ketoadipate pathway	protocatechuate branch of the &beta;-ketoadipate pathway	protocatechuate degradation via ortho-cleavage	protocatechuate degradation via the &beta;-ketoadipate pathway	protocatechuate 3,4-cleavage
GLYOXYLATE-BYPASS	glyoxylate cycle	glyoxylate bypass	glyoxylate shunt
PWY-5674	nitrate reduction IV (dissimilatory)	dissimilatroy nitrate reduction	nitrate respiration	repiratory ammonification
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation	
PWY-6317	D-galactose degradation I (Leloir pathway)	Leloir pathway
PWY-6622	heptadecane biosynthesis	alkane biosynthesis
OANTIGEN-PWY	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)	
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	
PWY-5913	partial TCA cycle (obligate autotrophs)	TCA cycle VI (obligate autotrophs)
PWY0-781	aspartate superpathway	
ARGSPECAT-PWY	spermine biosynthesis	
PWY0-1321	nitrate reduction III (dissimilatory)	formate to nitrate electron transfer
PWY0-1296	purine ribonucleosides degradation	
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	
PWY-46	putrescine biosynthesis III	ODC pathway
ILEUDEG-PWY	L-isoleucine degradation I	
PWY0-1334	NADH to cytochrome <i>bd</i> oxidase electron transfer I	
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	
UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (prokaryotic)	superpathway of ubiquinone-8 biosynthesis (prokaryotic)
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	arginine degradation to spermidine	spermidine biosynthesis
PWY-4984	urea cycle	Krebs ornithine cycle	Krebs-Henseleit cycle
PWY0-1581	nitrate reduction IX (dissimilatory)	glycerol-3-phosphate to nitrate electron transfer
GLUTORN-PWY	L-ornithine biosynthesis I	
ARO-PWY	chorismate biosynthesis I	aromatic amino acid biosynthesis	shikimate pathway
GLUTSYNIII-PWY	L-glutamate biosynthesis III	
PWY-5138	unsaturated, even numbered fatty acid &beta;-oxidation	fatty acid &beta;-oxidation IV (unsaturated, even number)
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	biotin biosynthesis from 7-keto-8-aminopelargonate
PWY-5755	4-hydroxybenzoate biosynthesis II (microbes)	<i>p</i>-hydroxybenzoate biosynthesis II
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	
PWY-7179	purine deoxyribonucleosides degradation I	
PWY-5739	GDP-D-perosamine biosynthesis	GDP-&alpha;-D-perosamine biosynthesis
GLUTSYN-PWY	L-glutamate biosynthesis I	
GLYSYN-ALA-PWY	glycine biosynthesis III	
PWY1-2	L-alanine degradation IV	
PWY-6151	<i>S</i>-adenosyl-L-methionine cycle I	SAM cycle	activated methyl cycle	AMC
PWY-6612	superpathway of tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis	lipid-A-precursor biosynthesis
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	
GLUTAMINEFUM-PWY	L-glutamine degradation II	
PWY-5851	demethylmenaquinol-9 biosynthesis	demethylmenaquinone-9 biosynthesis
METSYN-PWY	L-homoserine and L-methionine biosynthesis	
PWY-7199	pyrimidine deoxyribonucleosides salvage	
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis	
PWY0-1582	glycerol-3-phosphate to fumarate electron transfer	
TRNA-CHARGING-PWY	tRNA charging	
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	
PWY-1781	&beta;-alanine degradation II	
PWY-5853	demethylmenaquinol-6 biosynthesis I	DMK-6 biosynthesis	demethylmenaquinone-6 biosynthesis
PWY-5675	nitrate reduction V (assimilatory)	nitrate assimilation
PWY-7181	pyrimidine deoxyribonucleosides degradation	
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	nicotinamide adenine dinucleotide biosynthesis
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	2-oxoglutarate dehydrogenase complex	2-ketoglutarate dehydrogenase complex
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	
PWY-6476	cytidylyl molybdenum cofactor biosynthesis	MCD biosynthesis	molybdopterin cytosine dinucleotide biosynthesis
PWY-5839	menaquinol-7 biosynthesis	vitamin K<sub>2</sub> biosynthesis	menaquinone-7 biosynthesis
PWY-7574	propanoyl-CoA degradation II	propionyl-CoA degradation II
PWY0-42	2-methylcitrate cycle I	
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	superpathway of L-leucine, L-valine, and L-isoleucine biosynthesis
TYRFUMCAT-PWY	L-tyrosine degradation I	tyrosine fumarate catabolism
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	
PWY-6164	3-dehydroquinate biosynthesis I	
PWY-5386	methylglyoxal degradation I	
HISDEG-PWY	L-histidine degradation I	
HSERMETANA-PWY	L-methionine biosynthesis III	L-methionine biosynthesis by sulfhydrylation
PWY-6952	glycerophosphodiester degradation	
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	
PWY0-1319	CDP-diacylglycerol biosynthesis II	
PWY0-1295	pyrimidine ribonucleosides degradation	
PWY-5436	L-threonine degradation IV	
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	palmitoleic acid biosynthesis I	palmitoleate biosynthesis (anaerobic)
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	
1CMET2-PWY	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis	<i>N</i><sup>10</sup>-formyl-THF biosynthesis
AMMASSIM-PWY	ammonia assimilation cycle III	ammonia assimilation III	GS/GOGAT pathway
PWY-7686	L-malate degradation II	(<i>S</i>)--malate degradation II
PWY-7344	UDP-&alpha;-D-galactose biosynthesis	UDP-D-galactose biosynthesis
PROSYN-PWY	L-proline biosynthesis I	
PWY-5852	demethylmenaquinol-8 biosynthesis I	demethylmenaquinone-8 biosynthesis I
THIOREDOX-PWY	thioredoxin pathway	
PWY-5690	TCA cycle II (plants and fungi)	TCA cycle -- aerobic respiration	tricarboxylic acid cycle	citric acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle
PWY-3001	superpathway of L-isoleucine biosynthesis I	
DAPLYSINESYN-PWY	L-lysine biosynthesis I	L-lysine and L-diaminopimelate biosynthesis
PWY0-662	PRPP biosynthesis I	5-phosphoribosyl 1-pyrophosphate biosynthesis
LEU-DEG2-PWY	L-leucine degradation I	
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	
PWY-5901	2,3-dihydroxybenzoate biosynthesis	
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	
PWY-6611	adenine and adenosine salvage V	adenosine nucleosides salvage V
PWY0-1337	oleate &beta;-oxidation	
PWY-7790	UMP biosynthesis II	uridine-5'-phosphate biosynthesis II	<i>de novo</i> biosynthesis of uridine-5'-phosphate II	<i>de novo</i> biosynthesis of uridine-5'-monophosphate II
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	L-methionine biosynthesis from L-homoserine	L-methionine biosynthesis by transsulfuration
THRESYN-PWY	superpathway of L-threonine biosynthesis	
PWY0-1299	arginine dependent acid resistance	
PWY-6896	thiamine salvage I	thiamin salvage I
PWY0-1325	superpathway of L-asparagine biosynthesis	
PWY-5480	pyruvate fermentation to ethanol I	
PWY0-461	L-lysine degradation I	
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis	
PWY-4261	glycerol degradation I	
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	
PWY-4081	glutathione-peroxide redox reactions	
PWY-5512	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I	
PWY-6608	guanosine nucleotides degradation III	
PWY-5973	<i>cis</i>-vaccenate biosynthesis	<i>cis</i> vaccenic acid acid biosynthesis
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	
PWY-5137	fatty acid &beta;-oxidation III (unsaturated, odd number)	
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions	
SAM-PWY	S-adenosyl-L-methionine biosynthesis	S-adenosylmethionine biosynthesis
PWY0-1546	muropeptide degradation	
PWY-6703	preQ<sub>0</sub> biosynthesis	deazapurine biosynthesis
PWY0-1433	tetrahydromonapterin biosynthesis	
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	
KDO-LIPASYN-PWY	(Kdo)<sub>2</sub>-lipid A biosynthesis I	
PWY-2201	folate transformations I	
PWY-6599	guanine and guanosine salvage II	
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	pyruvate dehydrogenase complex	acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)
PWY-6124	inosine-5'-phosphate biosynthesis II	IMP biosynthesis II
PWY0-1021	L-alanine biosynthesis III	
CYSTSYN-PWY	L-cysteine biosynthesis I	
VALSYN-PWY	L-valine biosynthesis	
TRPCAT-PWY	L-tryptophan degradation I (via anthranilate)	anthranilate pathway
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	
PWY-7909	formaldehyde oxidation VII (THF pathway)	
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	[Fe-S] cluster biosynthesis	[2Fe-2S] cluster biosynthesis
PWY-3781	aerobic respiration I (cytochrome c)	
PWY0-1312	acetate formation from acetyl-CoA I	
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	
PWY-6902	chitin degradation II (Vibrio)	
VALDEG-PWY	L-valine degradation I	
P121-PWY	adenine and adenosine salvage I	purine salvage	salvage pathway of adenosine nucleosides	adenosine nucleosides salvage I
PWY-6466	pyridoxal 5'-phosphate biosynthesis II	vitamin B6 biosynthesis
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	
PWY-6353	purine nucleotides degradation II (aerobic)	purine nucleotides catabolism
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	vitamin B<sub>6</sub> biosynthesis
PWY-5344	L-homocysteine biosynthesis	
FASYN-ELONG-PWY	fatty acid elongation -- saturated	
PWY0-1355	formate to trimethylamine <i>N</i>-oxide electron transfer	
PWY-5971	palmitate biosynthesis II (bacteria and plants)	palmitic acid biosynthesis	de novo lipogenesis
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	
HOMOSERSYN-PWY	L-homoserine biosynthesis	
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
PWY-701	L-methionine degradation II	
GLNSYN-PWY	L-glutamine biosynthesis I	L-glutamine - L-glutamate pathway
PWY-7884	lipoprotein posttranslational modification	lipoprotein lipoylation
PWY-6536	4-aminobutanoate degradation III	&gamma;-amino-butyrate shunt	GABA degradation
PENTOSE-P-PWY	pentose phosphate pathway	pentose shunt	hexose monophosphate shunt	phosphogluconate pathway	superpathway of oxidative and non-oxidative branches of pentose phosphate pathway
PWY-6153	autoinducer AI-2 biosynthesis I	
PWY-5194	siroheme biosynthesis	
PWY-6620	guanine and guanosine salvage	
PWY-6517	<i>N</i>-acetylglucosamine degradation II	
PWY-6537	4-aminobutanoate degradation II	
PWY-5918	superpathay of heme <i>b</i> biosynthesis from glutamate	
PWY-I9	L-cysteine biosynthesis VI (from L-methionine)	reverse transsulfuration	methionine to cysteine transsulfuration
PWY-2161	folate polyglutamylation	
ACETATEUTIL-PWY	superpathway of acetate utilization and formation	
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	anaerobic glycolysis	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis III (glucokinase)
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	glucosamine degradation	N-acetyl-glucosamine degradation
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	
LEUSYN-PWY	L-leucine biosynthesis	
PWY-4861	UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate)	UDP-galacturonic acid biosynthesis	UDP-GalA biosynthesis	UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)
PWY-4381	fatty acid biosynthesis initiation I	de novo fatty acid biosynthesis, initial reactions
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	CoA biosynthesis
PWY-7801	N-end rule pathway I (prokaryotic)	
PWY-7194	pyrimidine nucleobases salvage II	cytosine salvage
PWY-6683	sulfate reduction III (assimilatory)	sulfur metabolism	sulfur assimilation
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (<i>E. coli</i>)	
GLUCONEO-PWY	gluconeogenesis I	
FAO-PWY	fatty acid &beta;-oxidation I	
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide I	
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	UDP-&alpha;-D-glucuronate biosynthesis	UDP-glucuronic acid biosynthesis (from UDP-glucose)	UDP-GlcA biosynthesis
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I	acetyl-CoA biosynthesis (from alcohol)
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis	superpathway of demethylmenaquinone-8 biosynthesis
PWY-5989	stearate biosynthesis II (bacteria and plants)	stearic acid biosynthesis
GLYSYN-PWY	glycine biosynthesis I	
PROUT-PWY	L-proline degradation	L-proline utilization
PWY0-381	glycerol and glycerophosphodiester degradation	
PWY-6093	4,5-dichlorocatechol degradation	
PWY-6019	pseudouridine degradation	
PWY0-1221	putrescine degradation II	
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	
SO4ASSIM-PWY	sulfate reduction I (assimilatory)	
PWY-5783	octaprenyl diphosphate biosynthesis	
PWY-7193	pyrimidine ribonucleosides salvage I	
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	
PWY-6932	selenate reduction	selenium metabolism	selenium assimilation
FORMASS-PWY	formaldehyde oxidation IV (thiol-independent)	
GLYCLEAV-PWY	glycine cleavage	glycine cleavage system	glycine decarboxylase complex	gcv system	glycine cleavage complex
THREONINE-DEG2-PWY	L-threonine degradation II	threonine dehydrogenase pathway	TDG pathway
PWY0-1305	L-glutamate degradation IX (via 4-aminobutanoate)	glutamate dependent acid resistance
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	riboflavin, FMN and FAD biosynthesis	vitamin B<sub>2</sub> biosynthesis
DETOX1-PWY	superoxide radicals degradation	removal of superoxide radicals
PWY-5350	thiosulfate disproportionation IV (rhodanese)	
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate	
PWY0-1353	succinate to cytochrome <i>bd</i> oxidase electron transfer	
PWY0-1264	biotin-carboxyl carrier protein assembly	BCCP assembly
TRPSYN-PWY	L-tryptophan biosynthesis	
GLUTAMINDEG-PWY	L-glutamine degradation I	
PWY-6700	queuosine biosynthesis	
PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol biosynthesis
DETOX1-PWY-1	reactive oxygen species degradation	removal of superoxide radicals
PWY-5148	acyl-CoA hydrolysis	acyl-CoA thioesterase pathway
PWY-6893	thiamine diphosphate biosynthesis II (Bacillus)	vitamin B<sub>1</sub> biosynthesis II	thiamin diphosphate biosynthesis II (Bacillus)
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	
PWY-3941	&beta;-alanine biosynthesis II	&beta;-alanine biosynthesis from proprionate
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	2-oxo acid dehydrogenase complex	branched-chain &alpha;-keto acid dehydrogenase complex
PWY-6502	oxidized GTP and dGTP detoxification	8-oxo-(d)GTP detoxification	oxidized guanosine triphosphate and deoxyguanosine triphosphate detoxification	8-oxo-7,8-dihydro-guanosine-triphosphate and 8-oxo-7,8-dihydro-deoxyguanosine-triphosphate
PWY0-1584	nitrate reduction X (dissimilatory, periplasmic)	periplasmic glycerol-3-phosphate to nitrate electron transfer
HISTSYN-PWY	L-histidine biosynthesis	
PWY-7205	CMP phosphorylation	
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	folic acid salvage	folate salvage	THF salvage
PWY-5499	vitamin B<sub>6</sub> degradation	pyridoxine degradation	pyridoxamine degradation	pyridoxal degradation
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	ubiquinone-8 biosynthesis (prokaryotic)
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-5669	phosphatidylethanolamine biosynthesis I	
PWY-5122	geranyl diphosphate biosynthesis	GPP biosynthesis
PWY-7183	pyrimidine nucleobases salvage I	uracil salvage
GLUTATHIONESYN-PWY	glutathione biosynthesis	
PWY-5276	sulfite oxidation I	
PWY-6268	adenosylcobalamin salvage from cobalamin	vitamin B<sub>12</sub> biosynthesis
PWY-6123	inosine-5'-phosphate biosynthesis I	IMP biosynthesis I
PWY0-901	L-selenocysteine biosynthesis I (bacteria)	
PWY-5340	sulfate activation for sulfonation	sulfation pathway
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	FPP biosynthesis	<i>trans, trans</i>-farnesyl diphosphate biosynthesis
SALVPURINE2-PWY	xanthine and xanthosine salvage	
PWY66-21	ethanol degradation II	
PWY-7798	protein <i>S</i>-nitrosylation and denitrosylation	
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	
PWY-6543	4-aminobenzoate biosynthesis	pABA biosynthesis	plastidial PABA biosynthesis	PABA biosynthesis in plastids	<i>p</i>-aminobenzoate biosynthesis
